fmun_cod;fmun;ano;mes;regiao;hom_doloso;lesao_corp_morte;latrocinio;hom_por_interv_policial;estupro;roubos;furtos;sequestro_relampago;estelionato;trafico_drogas
3300407;Barra Mansa;2014;4;Interior;4;1;0;0;0;14;114;0;10;20
3300456;Belford Roxo;2014;4;Baixada Fluminense;12;0;1;2;25;300;139;1;22;19
3300506;Bom Jardim;2014;4;Interior;0;0;0;0;0;1;18;0;0;1
3300605;Bom Jesus do Itabapoana;2014;4;Interior;0;0;0;0;1;0;20;0;5;12
3300704;Cabo Frio;2014;4;Interior;13;0;2;0;26;80;182;0;22;45
3300803;Cachoeiras de Macacu;2014;4;Interior;1;0;0;0;1;4;21;0;3;5
3300902;Cambuci;2014;4;Interior;2;0;0;0;0;1;1;0;0;1
3300936;Carapebus;2014;4;Interior;0;0;0;0;0;0;0;0;0;0
3300951;Comendador Levy Gasparian;2014;4;Interior;0;0;0;0;0;0;0;0;0;0
3301009;Campos dos Goytacazes;2014;4;Interior;17;0;0;0;12;146;309;0;46;55
3301108;Cantagalo;2014;4;Interior;1;0;0;0;2;1;16;0;4;2
3301157;Cardoso Moreira;2014;4;Interior;0;0;0;0;0;0;11;0;0;1
3301207;Carmo;2014;4;Interior;0;0;0;0;1;2;8;0;3;2
3301306;Casimiro de Abreu;2014;4;Interior;3;0;0;0;2;13;34;0;1;7
3301405;Conceição de Macabu;2014;4;Interior;1;0;0;0;1;3;9;0;1;0
3301504;Cordeiro;2014;4;Interior;1;0;0;0;0;1;23;0;0;0
3301603;Duas Barras;2014;4;Interior;0;0;0;0;1;1;5;0;1;0
3301702;Duque de Caxias;2014;4;Baixada Fluminense;56;0;1;8;30;1311;625;5;127;61
3301801;Engenheiro Paulo de Frontin;2014;4;Interior;0;0;0;0;0;0;4;0;1;0
3301850;Guapimirim;2014;4;Baixada Fluminense;2;0;0;0;4;19;36;0;0;0
3301876;Iguaba Grande;2014;4;Interior;0;0;0;0;1;9;27;0;2;0
3301900;Itaboraí;2014;4;Interior;6;0;0;0;9;137;155;0;33;28
3302007;Itaguaí;2014;4;Baixada Fluminense;6;0;0;1;6;61;94;0;16;19
3302056;Italva;2014;4;Interior;0;0;0;0;0;0;0;0;0;0
3302106;Itaocara;2014;4;Interior;0;0;0;0;0;3;18;0;2;2
3302205;Itaperuna;2014;4;Interior;1;0;0;0;3;2;46;0;5;7
3302254;Itatiaia;2014;4;Interior;0;0;0;0;0;7;20;0;3;7
3302270;Japeri;2014;4;Baixada Fluminense;2;0;0;0;6;19;28;0;10;13
3302304;Laje do Muriaé;2014;4;Interior;0;0;0;1;0;0;1;0;0;1
3302403;Macaé;2014;4;Interior;10;0;0;0;7;170;192;0;44;18
3302452;Macuco;2014;4;Interior;0;0;0;0;0;0;0;0;0;0
3302502;Magé;2014;4;Baixada Fluminense;3;0;0;0;17;88;112;1;17;19
3302601;Mangaratiba;2014;4;Interior;2;0;0;0;2;6;36;0;3;1
3302700;Maricá;2014;4;Grande Niterói;8;0;0;0;4;55;100;0;12;10
3302809;Mendes;2014;4;Interior;0;0;0;0;0;1;12;0;2;3
3302858;Mesquita;2014;4;Baixada Fluminense;9;0;0;0;8;235;75;0;20;13
3302908;Miguel Pereira;2014;4;Interior;1;0;0;0;2;1;18;0;3;4
3303005;Miracema;2014;4;Interior;0;0;0;0;0;1;14;0;5;2
3303104;Natividade;2014;4;Interior;0;0;0;0;1;0;8;0;5;1
3303203;Nilópolis;2014;4;Baixada Fluminense;5;0;0;0;5;241;112;0;31;2
3303302;Niterói;2014;4;Grande Niterói;8;0;0;1;10;588;652;0;162;43
