fmun_cod;fmun;ano;mes;regiao;hom_doloso;lesao_corp_morte;latrocinio;hom_por_interv_policial;estupro;roubo_transeunte;roubo_celular;roubo_em_coletivo;roubo_rua;roubo_veiculo;roubo_carga;roubo_comercio;roubo_residencia;roubo_banco;roubo_cx_eletronico;roubo_conducao_saque;roubo_apos_saque;roubo_bicicleta;outros_roubos;furto_veiculos;furto_transeunte;furto_coletivo;furto_celular;furto_bicicleta;outros_furtos
3300233;Armação dos Búzios;2014;2;Interior;0;0;0;0;1;3;0;0;3;0;0;0;1;0;0;0;2;0;9;2;1;0;3;0;41
3300258;Arraial do Cabo;2014;2;Interior;1;0;0;0;2;1;0;0;1;0;0;0;0;0;0;0;0;0;3;2;3;0;0;0;16
3300308;Barra do Piraí;2014;2;Interior;4;0;0;0;1;0;1;0;1;1;0;0;0;0;0;0;0;0;1;6;0;1;2;0;20
3300407;Barra Mansa;2014;2;Interior;2;0;0;0;6;3;0;5;8;1;0;15;0;0;0;0;0;0;3;14;7;4;9;0;64
3300456;Belford Roxo;2014;2;Baixada Fluminense;21;0;1;1;15;132;7;14;153;95;9;25;1;0;0;1;0;0;14;17;20;4;13;0;80
3300506;Bom Jardim;2014;2;Interior;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;8
3300605;Bom Jesus do Itabapoana;2014;2;Interior;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;20
3300704;Cabo Frio;2014;2;Interior;7;0;0;2;8;40;2;4;46;9;3;8;1;0;0;0;0;0;57;16;56;4;17;0;166
3300803;Cachoeiras de Macacu;2014;2;Interior;0;0;0;0;2;1;0;0;1;2;0;0;0;0;0;0;1;0;3;1;1;0;1;0;20
3300902;Cambuci;2014;2;Interior;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
3300936;Carapebus;2014;2;Interior;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3300951;Comendador Levy Gasparian;2014;2;Interior;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3301009;Campos dos Goytacazes;2014;2;Interior;29;0;0;2;13;87;6;11;104;22;4;11;2;0;0;0;4;0;10;49;55;25;3;0;194
3301108;Cantagalo;2014;2;Interior;0;0;0;0;0;3;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;16
3301157;Cardoso Moreira;2014;2;Interior;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;16
3301207;Carmo;2014;2;Interior;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
3301306;Casimiro de Abreu;2014;2;Interior;0;0;0;0;1;4;0;0;4;3;0;1;2;0;0;0;0;0;1;2;1;1;2;0;23
3301405;Conceição de Macabu;2014;2;Interior;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;11
3301504;Cordeiro;2014;2;Interior;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;15
3301603;Duas Barras;2014;2;Interior;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;2
3301702;Duque de Caxias;2014;2;Baixada Fluminense;46;1;0;9;29;656;22;46;724;321;69;47;5;0;0;0;7;0;89;88;109;32;30;0;392
3301801;Engenheiro Paulo de Frontin;2014;2;Interior;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
3301850;Guapimirim;2014;2;Baixada Fluminense;0;0;0;0;5;5;1;0;6;6;0;2;0;0;0;0;0;0;1;0;2;0;4;0;17
3301876;Iguaba Grande;2014;2;Interior;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;2;1;0;2;0;25
3301900;Itaboraí;2014;2;Interior;6;0;0;1;12;67;4;8;79;24;1;7;2;0;0;0;2;0;16;24;12;4;5;0;95
3302007;Itaguaí;2014;2;Baixada Fluminense;11;0;1;1;4;18;2;0;20;18;2;6;4;0;0;0;0;0;9;21;7;1;5;0;63
3302056;Italva;2014;2;Interior;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3302106;Itaocara;2014;2;Interior;1;0;0;0;0;1;0;0;1;2;0;0;0;0;0;0;0;0;1;1;0;0;2;0;10
3302205;Itaperuna;2014;2;Interior;1;0;0;0;5;0;0;0;0;0;0;3;0;0;0;0;0;0;0;5;3;3;2;0;41
3302254;Itatiaia;2014;2;Interior;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;2;2;2;0;1;0;16
3302270;Japeri;2014;2;Baixada Fluminense;3;1;0;0;0;8;1;0;9;3;0;2;1;0;0;0;0;0;3;2;3;0;0;0;27
3302304;Laje do Muriaé;2014;2;Interior;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
3302403;Macaé;2014;2;Interior;9;0;0;0;14;69;0;4;73;53;2;14;0;0;0;0;0;0;9;22;23;6;11;0;128
3302452;Macuco;2014;2;Interior;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3302502;Magé;2014;2;Baixada Fluminense;12;0;1;0;13;50;2;4;56;19;2;2;1;0;0;0;3;0;5;17;11;5;2;0;67
3302601;Mangaratiba;2014;2;Interior;3;0;0;0;4;3;0;1;4;4;0;0;1;0;0;0;0;0;1;14;2;2;12;0;33
3302700;Maricá;2014;2;Grande Niterói;8;0;0;0;2;46;3;2;51;30;0;3;1;0;0;1;0;0;9;13;9;7;1;0;90
3302809;Mendes;2014;2;Interior;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;6
3302858;Mesquita;2014;2;Baixada Fluminense;4;0;0;0;7;119;0;4;123;40;2;14;2;0;0;1;0;0;5;20;16;14;3;0;62
3302908;Miguel Pereira;2014;2;Interior;3;0;0;0;4;0;0;0;0;1;0;0;1;0;0;0;0;0;3;1;4;0;1;0;23
3303005;Miracema;2014;2;Interior;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;6
3303104;Natividade;2014;2;Interior;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9
3303203;Nilópolis;2014;2;Baixada Fluminense;6;0;0;0;7;125;17;3;145;75;3;20;1;0;0;0;1;0;11;14;24;4;17;0;84
3303302;Niterói;2014;2;Grande Niterói;9;0;0;11;20;302;9;32;343;122;3;27;6;0;0;0;2;0;42;110;170;25;48;0;331
3303401;Nova Friburgo;2014;2;Interior;3;0;0;0;3;12;2;0;14;2;0;1;1;0;0;0;1;0;2;8;2;1;6;0;78
3303500;Nova Iguaçu;2014;2;Baixada Fluminense;50;0;1;2;44;424;37;23;484;258;15;32;12;0;0;0;12;0;36;47;79;31;39;0;225
3303609;Paracambi;2014;2;Baixada Fluminense;1;0;0;0;3;1;0;0;1;1;1;0;0;0;0;0;0;0;1;5;0;0;1;0;16
3303708;Paraíba do Sul;2014;2;Interior;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;2;1;0;3;0;19
3303807;Paraty;2014;2;Interior;2;0;0;0;0;3;0;0;3;0;0;3;0;0;0;0;0;0;3;0;1;0;2;0;37
3303856;Paty do Alferes;2014;2;Interior;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3303906;Petrópolis;2014;2;Interior;1;0;0;0;5;4;0;0;4;1;0;3;1;0;0;0;0;0;2;16;29;1;20;0;110
3303955;Pinheiral;2014;2;Interior;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;1;0;1;0;14
3304003;Piraí;2014;2;Interior;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;2;1;0;0;2;0;14
3304102;Porciúncula;2014;2;Interior;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;10
3304110;Porto Real;2014;2;Interior;2;0;0;0;2;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;3;0;7
3304128;Quatis;2014;2;Interior;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3304144;Queimados;2014;2;Baixada Fluminense;10;1;0;0;9;30;2;9;41;7;0;8;3;0;0;0;1;0;6;8;8;2;6;0;42
